"","run.order","std.order","x1","x2","Block","mass_g","DMSO_V","MeOH_V","DMSO_mL","MeOH_mL","Total_mL"
"1",1,5,0,0,"1",3,8,17,24,51,75
"2",2,2,1,-1,"1",3,10.8284271247462,7.80761184457488,32.4852813742386,23.4228355337246,55.9081169079632
"3",3,3,-1,1,"1",3,5.17157287525381,26.1923881554251,15.5147186257614,78.5771644662753,94.0918830920368
"4",4,7,0,0,"1",3,8,17,24,51,75
"5",5,4,1,1,"1",3,10.8284271247462,26.1923881554251,32.4852813742386,78.5771644662753,111.062445840514
"6",6,1,-1,-1,"1",3,5.17157287525381,7.80761184457488,15.5147186257614,23.4228355337246,38.9375541594861
"7",7,6,0,0,"1",3,8,17,24,51,75
"8",1,6,0,0,"2",3,8,17,24,51,75
"9",2,3,0,-1.4142135623731,"2",3,8,4,24,12,36
"10",3,2,1.4142135623731,0,"2",3,12,17,36,51,87
"11",4,1,-1.4142135623731,0,"2",3,4,17,12,51,63
"12",5,5,0,0,"2",3,8,17,24,51,75
"13",6,4,0,1.4142135623731,"2",3,8,30,24,90,114
