row,run,order,block,ip_6_mass_g,dmso_m,meoh_m,dmso_vr,meoh_vr,total_ml,fc_m,yield_pct,purge
1,1,7,1,2.081,17.606,26.96,7.688,16.358,50.04,1.633,78.5,1.52
2,2,4,1,2.029,23.842,41.51,10.678,25.831,74.078,1.466,72.3,1.86
3,3,3,1,2.097,11.381,41.45,4.932,24.957,62.678,1.771,84.5,1.44
4,4,6,1,2.02,17.675,27.049,7.952,16.907,50.215,1.535,76.0,1.75
5,5,5,1,2.015,17.64,27.08,7.956,16.969,50.222,1.529,75.9,1.53
6,6,1,1,2.079,11.397,12.378,4.982,7.517,25.986,1.809,87.0,1.48
7,7,2,1,2.044,23.858,12.393,10.607,7.655,37.239,0.0,0.0,1.0
8,1,6,2,2.015,17.632,26.94,7.952,16.881,50.038,1.574,78.1,1.76
9,2,5,2,2.041,17.668,26.929,7.867,16.659,50.057,1.587,77.8,1.72
10,3,4,2,2.055,17.808,47.572,7.875,29.229,76.249,1.756,85.5,1.87
11,4,1,2,2.045,9.87,26.942,4.386,16.635,42.987,1.759,86.0,1.58
12,5,2,2,2.074,26.497,26.998,11.61,16.436,58.168,1.098,52.9,1.78
13,6,3,2,2.058,17.801,6.35,7.86,3.896,24.195,0.0,0.0,1.0
