Run,Type,x1,x2,Solvent_V,Acid_eq,m_g_IP6,m_g_D_tartaric_acid,v_mL_water,dissolution_100C,Fast_precipitation,precipitation_rt_12h,yield_g,Yield_percent
1,Factorial,-0.707,-0.707,9.17,1.12,1,0.513,9.17,-,+,+,1.164,79.8
2,Factorial,-0.707,0.707,9.17,1.68,1,0.770,9.17,-,+,+,1.221,83.7
3,Factorial,0.707,-0.707,14.83,1.12,1,0.513,14.83,+,-,-,0.741,50.8
4,Factorial,0.707,0.707,14.83,1.68,1,0.770,14.83,+,-,-,0.700,48.0
5,Star (Axial),-1,0,8,1.4,1,0.642,8,-,+,+,1.198,82.2
6,Star (Axial),1,0,16,1.4,1,0.642,16,+,-,-,0.674,46.2
7,Star (Axial),0,-1,12,1,1,0.458,12,+,-,+,1.062,72.8
8,Star (Axial),0,1,12,1.8,1,0.825,12,-,-,-,0.958,65.7
9,Center,0,0,12,1.4,1,0.642,12,-,+,+,1.190,81.6
10,Center,0,0,12,1.4,1,0.642,12,-,+,+,0.871,59.7
11,Center,0,0,12,1.4,1,0.642,12,-,+,+,0.947,64.9
12,Center,0,0,12,1.4,1,0.642,12,-,+,+,1.071,73.4
13,Center,0,0,12,1.4,1,0.642,12,-,+,+,0.832,57.1
